P:4
PPPPP:8
PPPPR:2
PPPPS:2
PPPRP:2
PPPRR:0
PPPRS:2
PPPSP:18
PPPSR:1
PPPSS:1
PPRPP:1
PPRPR:2
PPRPS:8
PPRRP:0
PPRRR:0
PPRRS:3
PPRSP:5
PPRSR:3
PPRSS:3
PPSPP:7
PPSPR:2
PPSPS:1
PPSRP:2
PPSRR:6
PPSRS:1
PPSSP:2
PPSSR:2
PPSSS:2
PRP:0
PRPPP:4
PRPPR:0
PRPPS:0
PRPRP:2
PRPRR:0
PRPRS:0
PRPSP:2
PRPSR:0
PRPSS:0
PRR:1
PRRPP:0
PRRPR:1
PRRPS:0
PRRRP:0
PRRRR:2
PRRRS:2
PRRSP:0
PRRSR:0
PRRSS:1
PRS:0
PRSPP:2
PRSPR:2
PRSPS:1
PRSSP:2
PRSSR:1
PRSSS:2
PSPPP:6
PSPPR:0
PSPPS:0
PSPRP:2
PSPRR:0
PSPRS:3
PSPSP:131
PSPSR:12
PSPSS:7
PSRPP:9
PSRPR:1
PSRPS:21
PSRRP:2
PSRRR:2
PSRRS:0
PSRSP:12
PSRSR:6
PSRSS:0
PSSPP:1
PSSPR:9
PSSPS:1
PSSRP:7
PSSRR:19
PSSRS:0
PSSSP:2
PSSSR:6
PSSSS:2
R:35
RPPPP:6
RPPPR:4
RPPPS:10
RPPRP:0
RPPRR:1
RPPRS:2
RPPSP:3
RPPSR:8
RPPSS:24
RPRPP:14
RPRPR:217
RPRPS:3
RPRRP:0
RPRRR:1
RPRRS:1
RPRSP:1
RPRSR:2
RPRSS:0
RPSPP:2
RPSPR:2
RPSPS:2
RPSRP:17
RPSRR:2
RPSRS:1
RPSSP:8
RPSSR:3
RPSSS:0
RRP:15
RRPPP:2
RRPPR:1
RRPPS:4
RRPSP:2
RRPSR:1
RRPSS:10
RRR:14
RRRPP:1
RRRPR:4
RRRPS:0
RRRRP:0
RRRRR:1
RRRRS:0
RRRSP:1
RRRSR:13
RRRSS:0
RRS:0
RRSPP:4
RRSPR:1
RRSPS:0
RRSRP:1
RRSRR:1
RRSRS:0
RSPPP:6
RSPPR:4
RSPPS:1
RSPSP:4
RSPSR:8
RSPSS:2
RSRPP:2
RSRPR:20
RSRPS:2
RSRSP:2
RSRSR:4
RSRSS:0
RSSPP:0
RSSPR:0
RSSPS:0
RSSSP:3
RSSSR:0
RSSSS:0
SPPPP:2
SPPPR:3
SPPPS:2
SPPRP:0
SPPRR:2
SPPRS:2
SPPSP:3
SPPSR:2
SPPSS:4
SPRPP:8
SPRPR:1
SPRPS:1
SPRRP:0
SPRRR:1
SPRRS:1
SPRSP:3
SPRSR:0
SPRSS:1
SPSPP:3
SPSPR:0
SPSPS:4
SPSRP:0
SPSRR:0
SPSRS:7
SPSSP:0
SPSSR:0
SPSSS:4
SRPPP:2
SRPPR:7
SRPPS:2
SRPRP:2
SRPRR:1
SRPRS:2
SRPSP:0
SRPSR:15
SRPSS:0
SRRPP:21
SRRPR:2
SRRPS:1
SRRSP:1
SRRSR:2
SRRSS:0
SRSPP:0
SRSPR:0
SRSPS:4
SRSRP:4
SRSRR:0
SRSRS:61
SRSSP:1
SRSSR:0
SRSSS:1
SSPPP:1
SSPPR:4
SSPPS:4
SSPRP:0
SSPRR:1
SSPRS:1
SSPSP:0
SSPSR:7
SSPSS:0
SSRPP:6
SSRPR:0
SSRPS:1
SSRRP:3
SSRRR:0
SSRRS:0
SSRSP:0
SSRSR:0
SSRSS:0
SSSPP:1
SSSPR:0
SSSPS:6
SSSRP:1
SSSRR:0
SSSRS:3
SSSSP:0
SSSSR:0
SSSSS:1
